AGS;Gemeinde;STT;STADTTEIL;STADTVIERTEL ;Stand_Einwohner;EINW_HW_GESAMT;EINW_HW_FRAUEN;EINW_HW_DEUTSCH;EINW_HW_AUSLAENDER;EINW_HW_unter18;EINW_HW_18_bis_unter_30;EINW_HW_30_bis_unter_40;EINW_HW_40_bis_unter_50;EINW_HW_50_bis_unter_60;EINW_HW_60_und_älter;Haushalte
08335043;Konstanz;010;Altstadt;0101;31.12.2016;1.297;661;1.046;251;125;433;220;174;143;202;863
08335043;Konstanz;010;Altstadt;0102;31.12.2016;1.690;831;1.371;319;233;409;286;214;209;339;1.049
08335043;Konstanz;010;Altstadt;0103;31.12.2016;2.896;1.495;2.556;340;436;606;447;364;399;644;1.686
08335043;Konstanz;010;Altstadt;0104;31.12.2016;2.121;1.170;1.938;183;307;413;276;288;310;527;1.273
08335043;Konstanz;010;Altstadt;0105;31.12.2016;1.316;703;1.198;118;196;331;236;168;181;204;778
08335043;Konstanz;010;Altstadt;0106;31.12.2016;1.178;589;988;190;92;372;218;132;140;224;812
08335043;Konstanz;010;Altstadt;0107;31.12.2016;1.452;759;1.208;244;154;381;245;168;149;355;971
08335043;Konstanz;020;Paradies;0201;31.12.2016;2.816;1.529;2.529;287;371;498;379;363;427;778;1.674
08335043;Konstanz;020;Paradies;0202;31.12.2016;1.592;899;1.407;185;189;276;227;201;202;497;1.004
08335043;Konstanz;020;Paradies;0203;31.12.2016;1.100;437;725;375;7;1.039;41;11;1;1;692
08335043;Konstanz;020;Paradies;0204;31.12.2016;608;320;585;23;105;104;53;99;114;133;320
08335043;Konstanz;030;Petershausen-West;0301;31.12.2016;972;509;763;209;143;254;145;123;111;196;600
08335043;Konstanz;030;Petershausen-West;0302;31.12.2016;1.712;863;1.223;489;286;473;254;178;208;313;873
08335043;Konstanz;030;Petershausen-West;0303;31.12.2016;5.952;3.068;4.861;1.091;781;1.956;998;666;645;906;3.403
08335043;Konstanz;030;Petershausen-West;0304;31.12.2016;3.215;1.605;2.455;760;310;1.131;451;327;374;622;2.071
08335043;Konstanz;030;Petershausen-West;0305;31.12.2016;1.702;895;1.472;230;249;384;187;209;275;398;954
08335043;Konstanz;030;Petershausen-West;0306;31.12.2016;1.999;1.052;1.729;270;214;663;272;205;259;386;1.193
08335043;Konstanz;035;Petershausen-Ost;0351;31.12.2016;2.073;1.134;1.668;405;283;550;274;217;250;499;1.197
08335043;Konstanz;035;Petershausen-Ost;0352;31.12.2016;1.362;772;1.255;107;191;205;150;149;174;493;753
08335043;Konstanz;035;Petershausen-Ost;0353;31.12.2016;1.246;660;1.135;111;166;202;141;141;204;392;731
08335043;Konstanz;035;Petershausen-Ost;0354;31.12.2016;1.122;645;1.045;77;132;67;71;116;111;625;618
08335043;Konstanz;035;Petershausen-Ost;0355;31.12.2016;1.353;696;1.267;86;211;268;119;188;189;378;725
08335043;Konstanz;040;Königsbau;0401;31.12.2016;1.134;593;1.019;115;129;319;98;128;162;298;663
08335043;Konstanz;040;Königsbau;0402;31.12.2016;1.609;869;1.256;353;383;265;209;220;232;300;752
08335043;Konstanz;040;Königsbau;0403;31.12.2016;2.494;1.254;1.884;610;307;1.253;251;168;167;348;1.320
08335043;Konstanz;040;Königsbau;0404;31.12.2016;909;477;814;95;147;197;104;110;132;219;478
08335043;Konstanz;505;Allmannsdorf;0501;31.12.2016;1.659;885;1.529;130;250;282;127;197;275;528;890
08335043;Konstanz;050;Allmannsdorf;0502;31.12.2016;1.357;734;1.208;149;197;307;156;173;181;343;755
08335043;Konstanz;050;Allmannsdorf;0503;31.12.2016;2.289;1.211;2.066;223;284;559;251;232;365;598;1.320
08335043;Konstanz;060;Staad;0601;31.12.2016;1.018;539;938;80;131;135;88;136;161;367;581
08335043;Konstanz;060;Staad;0602;31.12.2016;789;411;719;70;125;111;82;111;97;263;424
08335043;Konstanz;070;Fürstenberg;0701;31.12.2016;4.381;2.280;3.514;867;586;1.399;522;459;542;873;2.541
